Day,Price,Signal,SignalStrategyValue,FlatStrategyValue,AccumulatedCash,TotalInvested
1,60.81,Hold,0.00,1.00,1.00,1.00
2,61.23,Hold,0.00,2.01,2.00,2.00
3,61.01,Hold,0.00,3.00,3.00,3.00
4,60.40,Hold,0.00,3.97,4.00,4.00
5,59.83,Sell,0.00,4.93,5.00,5.00
6,60.03,Hold,0.00,5.95,6.00,6.00
7,60.15,Hold,0.00,6.96,7.00,7.00
8,59.94,Hold,0.00,7.94,8.00,8.00
9,59.94,Hold,0.00,8.94,9.00,9.00
10,60.00,Hold,0.00,9.94,10.00,10.00
11,60.50,Hold,0.00,11.03,11.00,11.00
12,60.67,Hold,0.00,12.06,12.00,12.00
13,60.71,Buy,13.00,13.07,0.00,13.00
14,59.97,Sell,12.84,13.91,1.00,13.84
15,59.04,Hold,12.64,14.69,2.00,14.64
16,58.80,Hold,12.59,15.63,3.00,15.59
17,59.01,Hold,12.64,16.69,4.00,16.64
18,58.49,Hold,12.53,17.54,5.00,17.53
19,58.29,Hold,12.48,18.48,6.00,18.48
20,57.86,Hold,12.39,19.34,7.00,19.39
21,57.81,Hold,12.38,20.33,8.00,20.38
22,58.43,Hold,12.51,21.55,9.00,21.51
23,58.58,Hold,12.55,22.60,10.00,22.55
24,57.99,Hold,12.42,23.37,11.00,23.42
25,58.84,Hold,12.60,24.72,12.00,24.60
26,57.96,Hold,12.41,25.35,13.00,25.41
27,58.19,Hold,12.46,26.45,14.00,26.46
28,59.21,Buy,27.68,27.91,0.00,27.68
29,59.06,Hold,27.61,28.84,1.00,28.61
30,58.85,Hold,27.51,29.73,2.00,29.51
31,58.07,Hold,27.15,30.34,3.00,30.15
32,58.98,Hold,27.57,31.82,4.00,31.57
33,59.25,Hold,27.70,32.96,5.00,32.70
34,59.36,Hold,27.75,34.03,6.00,33.75
35,60.08,Hold,28.08,35.44,7.00,35.08
36,60.29,Hold,28.19,36.56,8.00,36.19
37,60.29,Hold,28.18,37.56,9.00,37.18
38,60.33,Hold,28.21,38.59,10.00,38.21
39,60.30,Hold,28.19,39.57,11.00,39.19
40,60.44,Hold,28.26,40.66,12.00,40.26
41,60.81,Hold,28.43,41.90,13.00,41.43
42,61.08,Hold,28.55,43.09,14.00,42.55
43,60.95,Hold,28.49,44.00,15.00,43.49
44,60.71,Hold,28.38,44.83,16.00,44.38
45,60.83,Hold,28.43,45.91,17.00,45.43
46,61.40,Hold,28.70,47.34,18.00,46.70
47,61.79,Hold,28.89,48.65,19.00,47.89
48,62.06,Hold,29.01,49.87,20.00,49.01
49,62.41,Hold,29.18,51.14,21.00,50.18
50,62.70,Hold,29.31,52.38,22.00,51.31
51,62.78,Hold,29.35,53.45,23.00,52.35
52,62.22,Hold,29.09,53.97,24.00,53.09
53,62.23,Hold,29.09,54.98,25.00,54.09
54,61.99,Hold,28.98,55.76,26.00,54.98
55,62.76,Hold,29.34,57.46,27.00,56.34
56,62.78,Hold,29.35,58.48,28.00,57.35
57,62.64,Hold,29.28,59.35,29.00,58.28
58,62.63,Hold,29.28,60.34,30.00,59.28
59,62.37,Sell,29.15,61.08,31.00,60.15
60,62.38,Hold,29.16,62.09,32.00,61.16
61,62.52,Hold,29.23,63.24,33.00,62.23
62,62.63,Hold,29.28,64.34,34.00,63.28
63,62.98,Hold,29.44,65.71,35.00,64.44
64,63.10,Hold,29.50,66.84,36.00,65.50
65,62.94,Hold,29.43,67.67,37.00,66.43
66,62.87,Hold,29.39,68.59,38.00,67.39
67,62.34,Hold,29.14,69.01,39.00,68.14
68,62.39,Hold,29.17,70.07,40.00,69.17
69,62.62,Hold,29.27,71.32,41.00,70.27
70,62.90,Hold,29.41,72.65,42.00,71.41
71,62.94,Hold,29.43,73.69,43.00,72.43
72,62.03,Hold,29.00,73.63,44.00,73.00
73,62.13,Hold,29.04,74.74,45.00,74.04
74,61.90,Hold,28.94,75.46,46.00,74.94
75,61.67,Hold,28.83,76.18,47.00,75.83
76,62.58,Hold,29.25,78.30,48.00,77.25
77,63.03,Hold,29.47,79.87,49.00,78.47
78,62.99,Hold,29.45,80.82,50.00,79.45
79,63.61,Buy,80.74,82.62,0.00,80.74
80,63.85,Hold,81.04,83.92,1.00,82.04
81,63.94,Hold,81.15,85.04,2.00,83.15
82,64.11,Hold,81.38,86.28,3.00,84.38
83,63.75,Hold,80.91,86.79,4.00,84.91
84,63.82,Hold,81.00,87.88,5.00,86.00
85,63.60,Hold,80.72,88.57,6.00,86.72
86,63.40,Hold,80.47,89.30,7.00,87.47
87,63.74,Hold,80.91,90.79,8.00,88.91
88,62.63,Sell,79.49,90.19,9.00,88.49
89,62.81,Hold,79.72,91.46,10.00,89.72
90,63.00,Hold,79.96,92.74,11.00,90.96
91,62.86,Hold,79.78,93.53,12.00,91.78
92,63.40,Hold,80.46,95.33,13.00,93.46
93,63.90,Hold,81.10,97.09,14.00,95.10
94,63.97,Hold,81.19,98.19,15.00,96.19
95,63.65,Hold,80.79,98.70,16.00,96.79
96,63.90,Buy,98.10,100.08,0.00,98.10
97,63.33,Sell,97.22,100.19,1.00,98.22
98,63.01,Hold,96.75,100.70,2.00,98.75
99,63.17,Hold,96.98,101.94,3.00,99.98
100,62.55,Hold,96.03,101.95,4.00,100.03
101,63.00,Hold,96.72,103.68,5.00,101.72
102,62.88,Hold,96.54,104.48,6.00,102.54
103,63.01,Hold,96.74,105.70,7.00,103.74
104,62.72,Hold,96.30,106.22,8.00,104.30
105,63.32,Hold,97.22,108.23,9.00,106.22
106,63.56,Hold,97.58,109.64,10.00,107.58
